designation,nominal_mm,pitch_mm,series
M76x2,76,2,unlabelled
M76x1.5,76,1.5,unlabelled
M76x1,76,1,unlabelled
M78x2,78,2,unlabelled
M80x6,80,6,unlabelled
M80x4,80,4,unlabelled
M80x3,80,3,unlabelled
M80x2,80,2,unlabelled
M80x1.5,80,1.5,unlabelled
M80x1,80,1,unlabelled
M82x2,82,2,unlabelled
M85x6,85,6,unlabelled
M85x4,85,4,unlabelled
M85x3,85,3,unlabelled
M85x2,85,2,unlabelled
M85x1.5,85,1.5,unlabelled
M90x6,90,6,unlabelled
M90x4,90,4,unlabelled
M90x3,90,3,unlabelled
M90x2,90,2,unlabelled
M90x1.5,90,1.5,unlabelled
M95x6,95,6,unlabelled
M95x4,95,4,unlabelled
M95x3,95,3,unlabelled
M95x2,95,2,unlabelled
M95x1.5,95,1.5,unlabelled
M100x6,100,6,unlabelled
M100x4,100,4,unlabelled
M100x3,100,3,unlabelled
M100x2,100,2,unlabelled
M100x1.5,100,1.5,unlabelled
M105x6,105,6,unlabelled
M105x4,105,4,unlabelled
M105x3,105,3,unlabelled
M105x2,105,2,unlabelled
M105x1.5,105,1.5,unlabelled
M110x6,110,6,unlabelled
M110x4,110,4,unlabelled
M110x3,110,3,unlabelled
M110x2,110,2,unlabelled
M110x1.5,110,1.5,unlabelled
M115x6,115,6,unlabelled
M115x4,115,4,unlabelled
M115x3,115,3,unlabelled
M115x2,115,2,unlabelled
M115x1.5,115,1.5,unlabelled
M120x6,120,6,unlabelled
M120x4,120,4,unlabelled
M120x3,120,3,unlabelled
M120x2,120,2,unlabelled
M120x1.5,120,1.5,unlabelled
M125x8,125,8,unlabelled
M125x6,125,6,unlabelled
M125x4,125,4,unlabelled
M125x3,125,3,unlabelled
M125x2,125,2,unlabelled
M125x1.5,125,1.5,unlabelled
M130x8,130,8,unlabelled
M130x6,130,6,unlabelled
M130x4,130,4,unlabelled
M130x3,130,3,unlabelled
M130x2,130,2,unlabelled
M130x1.5,130,1.5,unlabelled
M135x6,135,6,unlabelled
M135x4,135,4,unlabelled
M135x3,135,3,unlabelled
M135x2,135,2,unlabelled
M135x1.5,135,1.5,unlabelled
M140x8,140,8,unlabelled
M140x6,140,6,unlabelled
M140x4,140,4,unlabelled
M140x3,140,3,unlabelled
M140x2,140,2,unlabelled
M140x1.5,140,1.5,unlabelled
M145x6,145,6,unlabelled
M145x4,145,4,unlabelled
M145x3,145,3,unlabelled
M145x2,145,2,unlabelled
M145x1.5,145,1.5,unlabelled
M150x8,150,8,unlabelled
M150x6,150,6,unlabelled
M150x4,150,4,unlabelled
M150x3,150,3,unlabelled
M150x2,150,2,unlabelled
M150x1.5,150,1.5,unlabelled
M155x6,155,6,unlabelled
M155x4,155,4,unlabelled
M155x3,155,3,unlabelled
M155x2,155,2,unlabelled
M160x8,160,8,unlabelled
M160x6,160,6,unlabelled
M160x4,160,4,unlabelled
M160x3,160,3,unlabelled
M160x2,160,2,unlabelled
M165x6,165,6,unlabelled
M165x4,165,4,unlabelled
M165x3,165,3,unlabelled
M165x2,165,2,unlabelled
M170x8,170,8,unlabelled
M170x6,170,6,unlabelled
M170x4,170,4,unlabelled
M170x3,170,3,unlabelled
M170x2,170,2,unlabelled
M175x6,175,6,unlabelled
M175x4,175,4,unlabelled
M175x3,175,3,unlabelled
M175x2,175,2,unlabelled
M180x8,180,8,unlabelled
M180x6,180,6,unlabelled
M180x4,180,4,unlabelled
M180x3,180,3,unlabelled
M180x2,180,2,unlabelled
M185x6,185,6,unlabelled
M185x4,185,4,unlabelled
M185x3,185,3,unlabelled
M185x2,185,2,unlabelled
M190x8,190,8,unlabelled
M190x6,190,6,unlabelled
M190x4,190,4,unlabelled
M190x3,190,3,unlabelled
M190x2,190,2,unlabelled
M195x6,195,6,unlabelled
M195x4,195,4,unlabelled
M195x3,195,3,unlabelled
M195x2,195,2,unlabelled
M200x8,200,8,unlabelled
M200x6,200,6,unlabelled
M200x4,200,4,unlabelled
M200x3,200,3,unlabelled
M200x2,200,2,unlabelled
M205x6,205,6,unlabelled
M205x4,205,4,unlabelled
M205x3,205,3,unlabelled
M205x2,205,2,unlabelled
M210x8,210,8,unlabelled
M210x6,210,6,unlabelled
M210x4,210,4,unlabelled
M210x3,210,3,unlabelled
M210x2,210,2,unlabelled
M215x6,215,6,unlabelled
M215x4,215,4,unlabelled
M215x3,215,3,unlabelled
M220x8,220,8,unlabelled
M220x6,220,6,unlabelled
M220x4,220,4,unlabelled
M220x3,220,3,unlabelled
M220x2,220,2,unlabelled
M225x6,225,6,unlabelled
M225x4,225,4,unlabelled
M225x3,225,3,unlabelled
M225x2,225,2,unlabelled
M230x6,230,6,unlabelled
M230x4,230,4,unlabelled
M230x3,230,3,unlabelled
M230x2,230,2,unlabelled
M235x6,235,6,unlabelled
M235x4,235,4,unlabelled
M235x3,235,3,unlabelled
M240x8,240,8,unlabelled
M240x6,240,6,unlabelled
M240x4,240,4,unlabelled
M240x3,240,3,unlabelled
M240x2,240,2,unlabelled
M245x6,245,6,unlabelled
M245x4,245,4,unlabelled
M245x3,245,3,unlabelled
M245x2,245,2,unlabelled
M250x8,250,8,unlabelled
M250x6,250,6,unlabelled
M250x4,250,4,unlabelled
M250x3,250,3,unlabelled
M250x2,250,2,unlabelled
M255x6,255,6,unlabelled
M255x4,255,4,unlabelled
M255x3,255,3,unlabelled
M260x8,260,8,unlabelled
M260x6,260,6,unlabelled
M260x4,260,4,unlabelled
M260x3,260,3,unlabelled
M265x6,265,6,unlabelled
M265x4,265,4,unlabelled
M265x3,265,3,unlabelled
M270x6,270,6,unlabelled
M270x4,270,4,unlabelled
M270x3,270,3,unlabelled
M275x6,275,6,unlabelled
M275x4,275,4,unlabelled
M275x3,275,3,unlabelled
M280x8,280,8,unlabelled
M280x6,280,6,unlabelled
M280x4,280,4,unlabelled
M280x3,280,3,unlabelled
M285x6,285,6,unlabelled
M285x4,285,4,unlabelled
M285x3,285,3,unlabelled
M290x6,290,6,unlabelled
M290x4,290,4,unlabelled
M290x3,290,3,unlabelled
M295x6,295,6,unlabelled
M295x4,295,4,unlabelled
M295x3,295,3,unlabelled
M300x8,300,8,unlabelled
M300x6,300,6,unlabelled
M300x4,300,4,unlabelled
M300x3,300,3,unlabelled
M310x6,310,6,unlabelled
M310x4,310,4,unlabelled
M320x6,320,6,unlabelled
M320x4,320,4,unlabelled
M330x6,330,6,unlabelled
M330x4,330,4,unlabelled
M340x6,340,6,unlabelled
M340x4,340,4,unlabelled
M350x6,350,6,unlabelled
M350x4,350,4,unlabelled
M360x6,360,6,unlabelled
M360x4,360,4,unlabelled
M370x6,370,6,unlabelled
M370x4,370,4,unlabelled
M380x6,380,6,unlabelled
M380x4,380,4,unlabelled
M390x6,390,6,unlabelled
M390x4,390,4,unlabelled
M400x6,400,6,unlabelled
M400x4,400,4,unlabelled
M410x6,410,6,unlabelled
M420x6,420,6,unlabelled
M430x6,430,6,unlabelled
M440x6,440,6,unlabelled
M450x6,450,6,unlabelled
M460x6,460,6,unlabelled
M470x6,470,6,unlabelled
M480x6,480,6,unlabelled
M490x6,490,6,unlabelled
M500x6,500,6,unlabelled
M510x6,510,6,unlabelled
M520x6,520,6,unlabelled
M530x6,530,6,unlabelled
M540x6,540,6,unlabelled
M550x6,550,6,unlabelled
M560x6,560,6,unlabelled
M570x6,570,6,unlabelled
M580x6,580,6,unlabelled
M590x6,590,6,unlabelled
M600x6,600,6,unlabelled
